Troquel, Codigo de barras, Codigo de barras 2, Descripcion, Descripcion extendida, Rubro, SubRubro, Cod.Labo, Laboratorio, Costo s/IVA, Vigencia, Fecha Alta
4408181, 7796930003336, 7798365530876, 3TC COMPLEX 300 X 60 CMP, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 440003.930, 02/07/2025, 
4408341, 7791909317322, 7791909317322, BLOKIUM 75 X 15 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 16156.680, 26/06/2025, 
4408342, 7791909317490, 7791909317490, BLOKIUM 75 X 30 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 32547.470, 26/06/2025, 
4408421, 7791909317872, 7791909317872, BLOKIUM 75 X 5 AMP, , ESPECIALIDADES, , 106, CASASCO S.A., 16513.810, 26/06/2025, 
4408422, 7791909317834, 7791909317834, BLOKIUM 75 X 3 AMP, , ESPECIALIDADES, , 106, CASASCO S.A., 9946.380, 26/06/2025, 
4410802, 7795337908015, 7795337908015, TOT MAG A/OXI 30 CMP, , ESPECIALIDADES, , 792, TEMIS LOSTALO S.A., 27023.230, 24/06/2025, 
4412621, 8054083025667, 7795316907985, REFRESH TEARS GTS X 15 ML, , ESPECIALIDADES, , 1681, ABBVIE (DISPRO), 23561.000, 24/06/2025, 
4412622, 8054083025674, 8054083025674, REFRESH TEARS GTS X 10 ML, , ESPECIALIDADES, , 1681, ABBVIE (DISPRO), 16329.000, 24/06/2025, 
4413372, 7790375252205, 7790375252205, DIUREX A 50 X 30 CMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 12261.440, 18/06/2025, 
4415012, 7790375269166, 7790375269166, SEROQUEL 25 X 30 CMP, , PSICOF.LISTA 4, , 222, BAGO LABORATORIOS, 48638.410, 18/06/2025, 
4415191, 7790375269173, 7790375250645, SEROQUEL 100 X 30 CMP, , PSICOF.LISTA 4, , 222, BAGO LABORATORIOS, 78289.370, 18/06/2025, 
4415271, 7790375269180, 7790375269180, SEROQUEL 200 X 30 CMP, , PSICOF.LISTA 4, , 222, BAGO LABORATORIOS, 99332.850, 18/06/2025, 
4416004, 7798365530340, 7794640820366, NARAMIG 2.5 X 7 CMP, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 89758.340, 02/07/2025, 
4417592, 7792175009362, 7792175009362, DISIPAN 75 X 15 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 14121.550, 27/06/2025, 
4417594, 7792175009379, 7792175009379, DISIPAN 75 X 30 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 1285.910, 01/10/2020, 
4418821, 7795381410663, 7795381410663, VIAGRA 50 X 2 CMP*, , ESPECIALIDADES, , 1950, ASPEN (DISPRO), 11746.920, 26/06/2025, 
4418823, 7795381001915, 7795381001915, VIAGRA 50 X 10 CMP, , ESPECIALIDADES, , 1950, ASPEN (DISPRO), 75234.340, 26/06/2025, 21/12/2016
4418825, 7795381001922, 7795381001922, VIAGRA 50 X 20 CMP, , ESPECIALIDADES, , 1950, ASPEN (DISPRO), 87008.460, 26/06/2025, 21/12/2016
4419651, 7795306292466, 7795306292466, SANDIMMUN 10 X 60 CMP, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 95836.050, 01/07/2025, 
4419732, 7798051852428, 7798051852428, VALCATIL X 120 CMP, , ESPECIALIDADES, , 1612, PANALAB S.A.ARGENTINA, 55558.890, 11/06/2025, 
4419733, 7798051852695, 7798051852695, VALCATIL X 60 CMP, , ESPECIALIDADES, , 1612, PANALAB S.A.ARGENTINA, 30840.690, 11/06/2025, 08/07/2015
4421531, 7791824116772, 7791824116772, DETRUSITOL 2 X 28 CMP, , ESPECIALIDADES, , 1950, ASPEN (DISPRO), 52830.420, 22/04/2025, 
4421532, 7791824116789, 7791824116789, DETRUSITOL 2 X 56 CMP, , ESPECIALIDADES, , 1950, ASPEN (DISPRO), 95105.890, 22/04/2025, 
4422281, 7792219911903, 7792219911903, RAFFOLUTIL 50 X 30 CMP, , ESPECIALIDADES, , 537, MONTE VERDE S.A., 178245.890, 18/06/2025, 14/09/2021
4422942, 7795338013411, 7795338013411, PANTUS 40 X 15 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 10073.290, 24/06/2025, 
4422944, 7795338013428, 7795338013428, PANTUS 40 X 30 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 19002.330, 24/06/2025, 
4422946, 7795338002248, 7795338002248, PANTUS 40 X 60 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 26872.250, 24/06/2025, 06/06/2024
4423012, 7795338014111, 7795338014111, CLONAGIN GTS X 20 ML, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 11493.880, 24/06/2025, 
4423191, 7795338001425, 7795338001425, CLONAGIN 0.5 X 30 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 11404.670, 24/06/2025, 
4423192, 7795338001449, 7795338001449, CLONAGIN 0.5 X 60 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 16779.370, 24/06/2025, 
4423195, 7795338014371, 7795338014371, CLONAGIN 0.5 X 50 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 14629.240, 24/06/2025, 
4423271, 7795338001432, 7795338001432, CLONAGIN 2 X 30 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 12152.780, 24/06/2025, 
4423272, 7795338001456, 7795338001456, CLONAGIN 2 X 60 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 16837.060, 24/06/2025, 
4423275, 7795338014388, 7795338014388, CLONAGIN 2 X 50 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 15504.980, 24/06/2025, 
4423352, 7795338013770, 7795338013770, TENSIUM GASTRIC 30 CMP, , PSICOF.LISTA 4, , 54, BALIARDA S.A., 14214.940, 24/06/2025, 
4424921, 7798389330131, 7798389330131, ALLEGRA 180 X 10 CMP, , ESPECIALIDADES, , 340, OPELLA CHC, 20992.340, 30/06/2025, 
4426581, 7795328050877, 7795328050877, ATEROCLAR 10 X 30 CMP, , ESPECIALIDADES, , 63, BETA S.A., 30665.000, 27/06/2025, 
4426661, 7795328050891, 7795328050891, ATEROCLAR 20 X 30 CMP, , ESPECIALIDADES, , 63, BETA S.A., 46757.300, 27/06/2025, 
4426741, 7795328050914, 7795328050914, ATEROCLAR 40 X 30 CMP, , ESPECIALIDADES, , 63, BETA S.A., 58438.830, 27/06/2025, 
4429051, 7795328058408, 7795328058408, WETOL 30 CMP, , ESPECIALIDADES, , 63, BETA S.A., 61692.430, 27/06/2025, 
4429212, 7791829008379, 7791829008379, TANAVAT 10 X 30 CMP, , ESPECIALIDADES, , 525, MICROSULES ARG. S.A. ESP, 17487.200, 01/07/2025, 
4429472, 7795345010205, 7795345010205, VIMAX 50 X 2 CMP, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 4777.910, 19/06/2025, 
4429475, 7795345001296, 7795345001296, VIMAX 50 X 6 CMP, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 14148.820, 19/06/2025, 
4429552, 7795345010274, 7795345010274, VIMAX 100 X 2 CMP, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 5331.920, 26/05/2025, 
4429555, 7795345001302, 7795345001302, VIMAX 100 X 6 CMP, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 19453.020, 19/06/2025, 
4430781, 7798050060480, 7798050060480, METRONIDA DENV 500X20 CMP, , ESPECIALIDADES, , 203, DENVER FARMA S.A., 13012.930, 15/04/2025, 
4432842, 7791171100349, 7791171100349, BIFORT 25 X 2 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 3510.340, 28/06/2025, 
4432847, 7791171100806, 7791171100806, BIFORT 25 X 10 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 16515.840, 28/06/2025, 
4432922, 7791171100356, 7791171100356, BIFORT 50 X 2 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 4515.710, 28/06/2025, 
4432923, 7791171100325, 7791171100325, BIFORT 50 X 4 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 8666.440, 28/06/2025, 
4432927, 7791171002384, 7791171002384, BIFORT 50 X 10 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 21469.100, 28/06/2025, 
4432929, 7791171100882, 7791171100882, BIFORT 50 X 20 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 39223.530, 28/06/2025, 
4433092, 7791171100363, 7791171100363, BIFORT 100 X 2 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 5999.360, 28/06/2025, 
4433093, 7791171100332, 7791171100332, BIFORT 100 X 4 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 10493.870, 28/06/2025, 
4433097, 7791171100820, 7791171100820, BIFORT 100 X 10 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 27579.210, 28/06/2025, 
4433175, 7792175005067, 7792175005067, VORST 25 X 6 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 12460.290, 27/06/2025, 
4433252, 7792175005418, 7792175005418, VORST 50 X 2 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 5311.210, 27/06/2025, 
4433253, 7792175005425, 7792175005425, VORST 50 X 4 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 9504.630, 27/06/2025, 
4433255, 7792175005210, 7792175005210, VORST 50 X 6 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 14414.680, 27/06/2025, 
4433259, 7792175007511, 7792175007511, VORST 50 X 20 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 43640.250, 27/06/2025, 
4433332, 7792175005449, 7792175005449, VORST 100 X 2 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 7198.710, 27/06/2025, 
4433333, 7792175005456, 7792175005456, VORST 100 X 4 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 12636.230, 27/06/2025, 
4433335, 7792175005340, 7792175005340, VORST 100 X 6 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 19961.550, 27/06/2025, 
4434243, 7798129414640, 7798129414640, ACNECLIN 100 AP 30 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 40757.050, 19/06/2025, 
4435491, 7795372000507, 7795372000507, EBURNATE VANNIER 20X30CMP, , PSICOF.LISTA 4, , 853, VANNIER S.A., 26755.610, 27/05/2025, 
4435492, 7795372000514, 7795372000514, EBURNATE VANNIER 20X60CMP, , PSICOF.LISTA 4, , 853, VANNIER S.A., 48231.640, 27/05/2025, 
4442081, 7795306290271, 7795306290271, SIMULECT 20 X 1 AMP, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 3960661.800, 01/07/2025, 
4442403, 7798365530883, 7798365530883, LAMICTAL DISP 50 X 30 CMP, , ESPECIALIDADES, INHAB.PERSONAL, 248, GSK BIOPHARMA ARG S.A., 47805.190, 02/07/2025, 
4442583, 7798365530890, 7798365530890, LAMICTAL DISP 200 X 30CMP, , ESPECIALIDADES, INHAB.PERSONAL, 248, GSK BIOPHARMA ARG S.A., 120192.060, 02/07/2025, 
4442661, 7798084681323, 7798084681323, DOZIC 1 X 20 CMP*, , PSICOF.LISTA 4, , 537, MONTE VERDE S.A., 14936.310, 17/06/2025, 
4442662, 7798084682092, 7798084682092, DOZIC 1 X 60 CMP*, , PSICOF.LISTA 4, , 537, MONTE VERDE S.A., 32606.790, 17/06/2025, 
4442741, 7798084681330, 7798084681330, DOZIC 2 X 20 CMP*, , PSICOF.LISTA 4, , 537, MONTE VERDE S.A., 29632.260, 17/06/2025, 
4442742, 7798084682108, 7798084682108, DOZIC 2 X 60 CMP*, , PSICOF.LISTA 4, , 537, MONTE VERDE S.A., 85633.380, 17/06/2025, 
4442821, 7798084681347, 7798084681347, DOZIC 3 X 20 CMP*, , PSICOF.LISTA 4, , 537, MONTE VERDE S.A., 37982.000, 17/06/2025, 
4442822, 7798084682115, 7798084682115, DOZIC 3 X 60 CMP*, , PSICOF.LISTA 4, , 537, MONTE VERDE S.A., 112268.110, 17/06/2025, 
4443991, 7798050060138, 7798050060138, ANTIHEMORROID DENV CRX20G, , ESPECIALIDADES, , 203, DENVER FARMA S.A., 8350.360, 01/07/2025, 
4445212, 7795345120997, 7795345120997, MICOLIS NOVO 150 X 2 CMP, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 13902.630, 19/06/2025, 
4445214, 7795345121000, 7795345121000, MICOLIS NOVO 150 X 4 CAP, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 25851.900, 19/06/2025, 
4448102, 7795328058224, 7795328058224, PSICOASTEN 20 X 30 CMP, , PSICOF.LISTA 4, , 63, BETA S.A., 45529.010, 27/06/2025, 
4448281, 7795337908121, 7795337908121, VIROBRON B12 X 20 CMP, , ESPECIALIDADES, , 792, TEMIS LOSTALO S.A., 14737.380, 13/05/2024, 
4449511, 7795360002063, 7795360002063, CIRFLOX-G 500 X 10 CMP*, , ESPECIALIDADES, , 1436, KLONAL S.R.L., 10917.760, 25/03/2025, 
4451072, 7794428010743, 7794428010743, METASON CR X 20 GR, , ESPECIALIDADES, , 171, FORTBENTON CO.LAB.SA. ESP, 10376.560, 29/05/2025, 
4456281, 7791763337689, 7791763337689, VAGICURAL PLUS 6 OV, , ESPECIALIDADES, , 693, RAYMOS MEGALABS ARGENTINA, 14026.020, 01/07/2025, 
4456282, 7791763337696, 7791763337696, VAGICURAL PLUS 12 OV, , ESPECIALIDADES, , 693, RAYMOS MEGALABS ARGENTINA, 24589.020, 01/07/2025, 
4457411, 7795373011151, 7795373011151, RINO B NEBU C/DIL GTSX20M, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 17447.760, 27/06/2025, 
4457431, 7795373011519, 7795373011519, RINO B 50 X 200 DS, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 11056.860, 27/06/2025, 
4457512, 7796285291990, 7796285291990, RINO B NEBU GTS X 20 ML, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 10453.850, 27/06/2025, 
4457696, 7795373011557, 7795373011557, RINO B 100 X 100 DS, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 11056.850, 27/06/2025, 
4457778, 7795373022362, 7795373022362, NEUMOCORT+AEROMED X 200DS, , ESPECIALIDADES, , 1614, PABLO CASSARA, 24290.000, 23/06/2025, 
4458341, 7792234891907, 7792234891907, ANTIBLOC 6.25 X 30 CMP*, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 11498.850, 19/06/2025, 
4458421, 7792234891914, 7792234891914, ANTIBLOC 12.5 X 30 CMP*, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 14581.420, 19/06/2025, 
4458501, 7792234891921, 7792234891921, ANTIBLOC 25 X 30 CMP*, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 17901.280, 19/06/2025, 
4458841, 7795320050431, 7795320050431, MIRANOVA 21 CMP, , ESPECIALIDADES, , 693, RAYMOS MEGALABS ARGENTINA, 7071.180, 01/05/2025, 
4459591, 7791909255020, 7791909255020, IMECOT 500 X 30 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 6431.630, 15/04/2025, 02/07/2021
4459592, 7791909255068, 7791909255068, IMECOT 500 X 60 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 12731.300, 15/04/2025, 02/07/2021
4459671, 7791909255143, 7791909255143, IMECOT AP 850 X 30 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 12154.530, 15/04/2025, 02/07/2021
4459672, 7791909255174, 7791909255174, IMECOT AP 850 X 60 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 24074.530, 15/04/2025, 02/07/2021
4460301, 7795372000392, 7795372000392, SULFADIAZINA VAN 500X40CM, , ESPECIALIDADES, , 853, VANNIER S.A., 49121.540, 27/05/2025, 
4460481, 7795306425802, 7795306425802, AZOPT GTS X 5 ML, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 26291.620, 01/07/2025, 
4462461, 7795350023238, 7795350023238, LIPIBEC 10 X 30 CMP, , ESPECIALIDADES, , 24, IVAX ARG.(DISPROF.), 33051.610, 18/06/2025, 
4462462, 7795326003523, 7795326003523, LIPIBEC 10 X 60 CMP, , ESPECIALIDADES, , 24, IVAX ARG.(DISPROF.), 59989.410, 18/06/2025, 
4462541, 7795350023245, 7795350023245, LIPIBEC 20 X 30 CMP, , ESPECIALIDADES, , 24, IVAX ARG.(DISPROF.), 55445.160, 18/06/2025, 
4462542, 7795326003530, 7795326003530, LIPIBEC 20 X 60 CMP, , ESPECIALIDADES, , 24, IVAX ARG.(DISPROF.), 100819.400, 18/06/2025, 
4462702, 3499320013994, 3499320013994, DIFFERIN CR 0.1 X 30 GR, , ESPECIALIDADES, , 297, GALDERMA  ARGENTINA, 41723.180, 01/07/2025, 05/12/2022
4463031, 7798260150742, 7792371177650, XELODA 500 X 120 CMP, , ESPECIALIDADES, , 1030, BIOPAS, 1480984.460, 02/07/2025, 20/05/2024
4463111, 7792234088611, 7792234088611, FIRMEL 2 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 5904.620, 19/06/2025, 
4463113, 7792234088635, 7792234088635, FIRMEL 10 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 24365.340, 19/06/2025, 
4463114, 7792234891600, 7792234891600, FIRMEL 20 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 49743.830, 19/06/2025, 
4463871, 7795306011203, 7795306292503, SANDOSTATIN LAR 20 X 1JER, , ESPECIALIDADES, INSULINAS, 103, NOVARTIS FARMA, 3587384.960, 01/07/2025, 
4465431, 7795327061300, 7795327061300, ACIFOL 10 X 30 CMP, , ESPECIALIDADES, , 176, DOMINGUEZ S.A., 25266.740, 18/06/2025, 
4465432, 7795327061317, 7795327061317, ACIFOL 10 X 60 CMP, , ESPECIALIDADES, , 176, DOMINGUEZ S.A., 41380.350, 18/06/2025, 
4466501, 7795368002225, 7795368002225, DROPSTAR GTS X 10 ML, , ESPECIALIDADES, , 619, POEN LAB. S.A.C.I., 23191.310, 03/07/2025, 
4466502, 7795368547535, 7795368547535, DROPSTAR LC SOL 10 ML, , ESPECIALIDADES, , 619, POEN LAB. S.A.C.I., 26170.870, 03/07/2025, 13/02/2020
4466765, 7795328054141, 7795328054141, PANGEST 20 X 15 CMP, , ESPECIALIDADES, , 63, BETA S.A., 4932.520, 28/09/2024, 16/09/2014
4466841, 7795356999858, 7795356999858, BICALUTAMIDA 50 X 28 CMP, , ESPECIALIDADES, , 1369, SIDUS S.A., 34131.891, 16/11/2023, 17/01/2017
4467911, 7798050060411, 7798050060411, SUCRALFATO JAR X 200 ML, , ESPECIALIDADES, , 203, DENVER FARMA S.A., 31095.570, 01/07/2025, 
4468322, 7798050060510, 7798050060510, FENITOINA DENV 100 X50CMP, , ESPECIALIDADES, , 203, DENVER FARMA S.A., 61827.820, 01/07/2025, 
4468323, 7798050063627, 7798050063627, FENITOINA DENV 100 X30CMP, , ESPECIALIDADES, , 203, DENVER FARMA S.A., 42300.230, 01/07/2025, 08/07/2015
4468821, 7791909114594, 7791909114594, ACTIVIL 100 X 2 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 8074.440, 21/03/2025, 
4469491, 7795378001881, 7795378001881, REFRIANEX CTO 20 CMP, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 7440.570, 29/05/2025, 
4469572, 7795378000815, 7795378000815, REFRIANEX CTO JAR X 100ML, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 7996.520, 29/05/2025, 
4470881, 7791909291608, 7791909291608, ALERCAS D 10 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 11108.350, 15/04/2025, 
4471951, 4048846008466, 4048846008466, SIFROL 0.25 X 30 CMP, , ESPECIALIDADES, , 70, BOEHRINGER INGELHEIN S.A., 37440.070, 13/06/2025, 
4471952, 4048846008473, 4048846008473, SIFROL 0.25 X 100 CMP, , ESPECIALIDADES, , 70, BOEHRINGER INGELHEIN S.A., 111664.560, 13/06/2025, 
4472441, 4048846008480, 4048846008480, SIFROL 1 X 30 CMP, , ESPECIALIDADES, , 70, BOEHRINGER INGELHEIN S.A., 133559.570, 13/06/2025, 
4472442, 4048846008497, 4048846008497, SIFROL 1 X 100 CMP, , ESPECIALIDADES, , 70, BOEHRINGER INGELHEIN S.A., 392951.500, 13/06/2025, 
4475591, 7795372000491, 7795372000491, BECEDE VANNI 1 X 30 CMP, , PSICOF.LISTA 4, , 853, VANNIER S.A., 6821.410, 27/05/2025, 
4475671, 7795372001498, 7795372001498, BECEDE VANNI 2 X 30 CMP, , PSICOF.LISTA 4, , 853, VANNIER S.A., 12287.500, 27/05/2025, 10/06/2023
4475672, 7795372001504, 7795372001504, BECEDE 2 X 60 CMP, , PSICOF.LISTA 4, , 853, VANNIER S.A., 20598.240, 27/05/2025, 06/07/2023
4477494, 7795356997458, 7795356997458, CARDIAX 30 CMP, , ESPECIALIDADES, , 1369, SIDUS S.A., 12034.650, 10/06/2025, 
4477811, 7795381001106, 7795381001106, EFEXOR XR 37.5 X 7 CMP*, , PSICOF.LISTA 4, , 1950, ASPEN (DISPRO), 6236.830, 26/06/2025, 
4477991, 7795381001120, 7795381001120, EFEXOR XR 75 X 28 CAP, , PSICOF.LISTA 4, , 1950, ASPEN (DISPRO), 27682.310, 22/04/2025, 
4477992, 7795381001113, 7795381001113, EFEXOR XR 75 X 14 CMP*, , PSICOF.LISTA 4, , 1950, ASPEN (DISPRO), 14370.910, 26/06/2025, 
4478061, 7795381001144, 7795381001144, EFEXOR XR 150 X 28 CAP, , PSICOF.LISTA 4, , 1950, ASPEN (DISPRO), 34864.130, 26/06/2025, 
4478303, 7792183000924, 7792183000924, OMNIC OCAS 30 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 48779.630, 07/07/2025, 
4478306, 7792183002164, 7792183002164, OMNIC OCAS 60 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 87502.670, 07/07/2025, 30/03/2016
4478720, 7795336085007, , CLARITROMICINA RICH 500AM, , ESPECIALIDADES, , 699, RICHET S.A., 45022.700, 11/06/2025, 07/11/2014
4479051, 7795336085205, 7795336085205, CLARITROMICINA RICH 500X8, , ESPECIALIDADES, , 699, RICHET S.A., 16165.620, 11/06/2025, 
4479053, 7795336085229, 7795336085229, CLARITROMICINA RICH500X16, , ESPECIALIDADES, , 699, RICHET S.A., 26442.060, 11/06/2025, 
4479391, 8002660011794, 8002660011794, DUSPATALIN 200 X 20 CAP, , ESPECIALIDADES, , 37, ABBOTT LABORATORIOS ARG.E, 34746.360, 25/06/2025, 
4479711, 7795356002480, 7795356002480, PERMIXON 320 X 30 CAP, , ESPECIALIDADES, , 1369, SIDUS S.A., 90038.900, 10/06/2025, 
4479972, 7795330000549, 7795330000549, BICROMIL 50 X 30 CMP, , PSICOF.LISTA 4, , 996, CETUS, 28661.320, 28/03/2025, 
4482261, 7791171001714, 7791171001714, CAPILFOR 1 X 30 CMP, , ESPECIALIDADES, , 256, FINADIET S.A.C.I.F., 16993.930, 07/06/2025, 
4483331, 7795334000378, 7795334000378, IBUCLER JAR X 90 ML, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 4250.000, 08/03/2025, 
4483911, 7798084680876, 7798084680876, REDUPROST 30 CAP, , ESPECIALIDADES, , 537, MONTE VERDE S.A., 48985.950, 17/06/2025, 
4483912, 7798084685291, 7798084685291, REDUPROST X 60 CAP, , ESPECIALIDADES, , 537, MONTE VERDE S.A., 81790.030, 17/06/2025, 
4484081, 7791848253026, 7791848253026, DITROPAN UD 10 X 20 CMP, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 74554.750, 25/06/2025, 
4484082, 7791848253064, 7791848253064, DITROPAN UD 10 X 30 CMP, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 107141.950, 25/06/2025, 
4486981, 7791909280374, 7791909280374, COMINAR 50 X 30 CAP, , ESPECIALIDADES, , 106, CASASCO S.A., 31242.150, 26/06/2025, 
4486982, 7791909280411, 7791909280411, COMINAR 50 X 60 CAP, , ESPECIALIDADES, , 106, CASASCO S.A., 49086.580, 26/06/2025, 
4488622, 7795328054073, 7795328054073, OXA FORT 20 CMP, , PSICOF.BOLETA, , 63, BETA S.A., 2138.450, 02/03/2023, 
4488705, 7792219911729, 7792219911729, GESLUTIN 100 X 30 CAP, , ESPECIALIDADES, , 537, MONTE VERDE S.A., 43880.400, 17/06/2025, 21/04/2018
4489950, 7798129413285, 7798129413285, ENANTYUM 25 X 20 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 14374.590, 23/06/2025, 
4489951, 7798129413292, 7798129413292, ENANTYUM 25 X 40 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 24112.450, 23/06/2025, 
4490180, 7798129413261, 7798129413261, SPASMOCTYL 40 X 60 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 29839.940, 23/06/2025, 
4490181, 7798129413254, 7798129413254, SPASMOCTYL 40 X 20 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 14487.750, 23/06/2025, 
4490921, 7795338013398, 7795338013398, GINKAN 500 X 8 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 7786.990, 24/06/2025, 
4490923, 7795338013404, 7795338013404, GINKAN 500 X 20 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 16751.360, 24/06/2025, 
4491092, 7795338016771, 7795338016771, NEUROPLUS 10 X 30 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 33380.710, 24/06/2025, 
4491093, 7795338013381, 7795338013381, NEUROPLUS 10 X 40 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 57705.390, 24/06/2025, 
4491096, 7795338015552, 7795338015552, NEUROPLUS 10 X 60 CMP, , ESPECIALIDADES, , 54, BALIARDA S.A., 59401.400, 24/06/2025, 20/11/2014
4491258, 7798081260910, 7798081260910, OMEPRASEC HLB 20X30 CAP, , ESPECIALIDADES, , 330, HLB PHARMA GROUP S.A., 16082.910, 24/06/2024, 09/11/2021
4491259, 7798081260903, 7798081260903, OMEPRASEC HLB 20X15 CAP, , ESPECIALIDADES, , 330, HLB PHARMA GROUP S.A., 9747.220, 24/06/2024, 09/11/2021
4491338, 7798081265816, 7798081265816, OMEPRASEC HLB 40X28 CAP, , ESPECIALIDADES, , 330, HLB PHARMA GROUP S.A., 27617.110, 24/06/2024, 09/11/2021
4491752, 7795356002114, 7795356002114, HIDROXIUREA D/F 500X100CM, , ESPECIALIDADES, , 1369, SIDUS S.A., 92985.570, 10/06/2025, 30/10/2020
4493651, 7795327061560, 7795327061560, DEXO 150 X 20 CMP, , ESPECIALIDADES, , 176, DOMINGUEZ S.A., 24690.260, 18/06/2025, 
4493731, 7795327061591, 7795327061591, DEXO 300 X 20 CMP, , ESPECIALIDADES, , 176, DOMINGUEZ S.A., 40848.670, 18/06/2025, 
4493732, 7795327061607, 7795327061607, DEXO 300 X 50 CMP, , ESPECIALIDADES, , 176, DOMINGUEZ S.A., 98461.940, 18/06/2025, 
4495892, 7798084681293, 7798084681293, LIPIFEN 20 X 30 CMP, , ESPECIALIDADES, , 537, MONTE VERDE S.A., 57540.740, 17/06/2025, 
4495972, 7798084681279, 7798084681279, LIPIFEN 10 X 30 CMP, , ESPECIALIDADES, , 537, MONTE VERDE S.A., 34210.110, 17/06/2025, 
